name,school_code,points,is_cc,html_link
Alma Public School,1028,6,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/western-nsw/western-nsw-broken-hill
Ardlethan Central School,1051,4,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-southern-nsw/inland-southern-nsw-west-wyalong
Ariah Park Central School,1055,4,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-southern-nsw/inland-southern-nsw-west-wyalong
Ashford Central School,1066,6,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-northern-nsw/inland-northern-nsw-far-north-area
Balranald Central School,1115,6,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-southern-nsw/inland-southern-nsw-balranald
Baradine Central School,1130,4,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-northern-nsw/inland-northern-nsw-warrumbungles-area
Barellan Central School,1131,4,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-southern-nsw/inland-southern-nsw-west-wyalong
Barham High School,8461,6,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-southern-nsw/inland-southern-nsw-edward-river-area
Barham Public School,1135,6,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-southern-nsw/inland-southern-nsw-edward-river-area
Barraba Central School,1140,4,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-northern-nsw/inland-northern-nsw-mid-north-area
Barwon Learning Centre,5762,4,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-northern-nsw/inland-northern-nsw-moree-area
Bedgerabong Public School,1164,4,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-southern-nsw/inland-southern-nsw-west-wyalong
Beelbangera Public School,1167,4,False,https://education.nsw.gov.au/teach-nsw/find-teaching-jobs/choose-rural/inland-southern-nsw/inland-southern-nsw---griffith-area
Bellata Public School,1175,6,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-northern-nsw/inland-northern-nsw-narrabri-area
Berrigan Public School,1207,4,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-southern-nsw/inland-southern-nsw-edward-river-area
Bigga Public School,1223,4,False,https://education.nsw.gov.au/teach-nsw/find-teaching-jobs/choose-regional/yass-area
Bingara Central School,1234,4,False,https://education.nsw.gov.au/teach-nsw/find-teaching-jobs/choose-rural/inland-northern-nsw/inland-northern-nsw-narrabri-area
Binnaway Central School,1237,4,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-northern-nsw/inland-northern-nsw-warrumbungles-area
